team,player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,DMG,DMG/M,KPAR,KS,GS,CP
Brion,Effort,35,12,23,34.3%,0.4,2.11,5.4,2.74,28.63,0.85,7.7,228,4.9k,145,68.4%,4.7%,13.3%,9
Brion,Hena,35,12,23,34.3%,2.29,1.91,2.74,2.63,314.97,9.33,13.7,406,18.8k,556,59.3%,26.9%,23.8%,9
Brion,Karis,35,12,23,34.3%,2.71,2.17,2.89,2.58,290.77,8.61,13.0,384,18k,533,66%,32%,22.5%,10
Brion,Morgan,35,12,23,34.3%,1.6,2.17,2.66,1.96,287.37,8.51,12.7,377,13.7k,405,50.2%,18.9%,22.1%,9
Brion,UmTi,35,12,23,34.3%,1.49,2.63,4.86,2.41,182.49,5.4,10.6,314,11.6k,344,74.7%,17.5%,18.4%,8
DplusKIA,Canna,31,22,9,71%,2.26,1.52,3.9,4.06,272.87,8.47,12.6,392,15.1k,469,51.5%,18.9%,21.5%,8
DplusKIA,Canyon,31,22,9,71%,1.81,1.48,6.16,5.37,179.23,5.56,10.6,329,10.3k,319,66.6%,15.1%,18%,9
DplusKIA,Deft,31,22,9,71%,4.29,1.16,4.29,7.39,325.77,10.11,14.9,462,22.1k,685,71.7%,35.8%,25.3%,10
DplusKIA,Kellin,31,22,9,71%,0.74,1.42,9.06,6.91,19.74,0.61,7.9,245,7.3k,226,81.9%,6.2%,13.4%,10
DplusKIA,ShowMaker,31,22,9,71%,2.87,1.42,4.97,5.52,280.45,8.71,12.8,396,19.7k,611,65.5%,24%,21.7%,13
DRX,BeryL,34,10,24,29.4%,0.44,3.18,5.24,1.79,29.44,0.94,7.3,232,7k,225,68.9%,5.4%,13.8%,13
DRX,FATE,34,10,24,29.4%,2.32,2.38,2.74,2.12,262.79,8.38,11.5,368,18.3k,584,61.4%,28.2%,21.9%,11
DRX,Rascal,34,10,24,29.4%,1.97,2.88,2.76,1.64,263.85,8.42,12.0,383,15k,477,57.5%,23.9%,22.8%,13
DRX,deokdam,31,10,21,32.3%,2.29,2.39,3.26,2.32,275.77,8.82,12.5,399,16.3k,522,65.2%,26.9%,23.6%,9
DRX,Croco,26,6,20,23.1%,1.35,3.08,3.96,1.73,150.65,4.86,9.1,293,10.5k,340,69.3%,17.6%,17.7%,6
DRX,Juhan,8,4,4,50%,1.0,3.13,6.63,2.44,165.5,5.09,9.9,305,9.1k,280,75.3%,9.9%,17.6%,3
DRX,Pleata,3,0,3,0%,1.67,2.67,1.67,1.25,276.0,8.62,12.3,383,15.8k,494,62.5%,31.3%,24.4%,1
Gen.G,Chovy,34,23,11,67.6%,3.68,1.76,5.94,5.45,302.74,9.2,14.2,433,21.8k,663,67.8%,25.9%,22.9%,14
Gen.G,Delight,34,23,11,67.6%,0.85,1.79,9.82,5.95,27.74,0.84,8.3,254,7.3k,223,75.3%,6%,13.4%,12
Gen.G,Doran,34,23,11,67.6%,2.56,2.38,5.65,3.44,272.03,8.27,13.4,407,16.3k,497,57.9%,18%,21.5%,10
Gen.G,Peanut,34,23,11,67.6%,2.44,2.65,7.06,3.59,181.47,5.52,11.2,340,11.1k,338,67%,17.2%,18%,7
Gen.G,Peyz,34,23,11,67.6%,4.65,1.56,4.65,5.96,327.94,9.97,15.0,457,20.3k,617,65.6%,32.8%,24.2%,9
HanWha,Clid,34,20,14,58.8%,2.03,2.18,4.5,3.0,177.97,5.27,10.9,323,10.5k,311,63.4%,19.7%,17.8%,9
HanWha,Kingen,34,20,14,58.8%,1.38,2.12,3.74,2.42,269.79,7.98,12.8,378,14k,415,49.7%,13.4%,20.9%,10
HanWha,Life,34,20,14,58.8%,0.71,2.03,6.53,3.57,24.29,0.72,8.1,240,6.9k,205,70.3%,6.9%,13.3%,10
HanWha,Viper,34,20,14,58.8%,3.03,1.38,4.0,5.09,336.71,9.96,15.0,443,22.9k,676,68.3%,29.4%,24.5%,6
HanWha,ZEKA,34,20,14,58.8%,3.15,1.56,3.53,4.28,328.12,9.71,14.3,424,19.6k,579,64.9%,30.6%,23.5%,13
KTRolster,Aiming,34,20,14,58.8%,3.59,1.29,3.59,5.55,315.26,10.14,14.2,456,17.5k,564,66.3%,33.2%,25.3%,7
KTRolster,Bdd,34,20,14,58.8%,3.09,1.59,3.91,4.41,271.09,8.72,12.4,398,14.8k,476,64.7%,28.5%,22.1%,13
KTRolster,Cuzz,34,20,14,58.8%,1.71,1.88,5.68,3.92,172.21,5.54,10.0,322,8.6k,278,68.2%,15.8%,17.9%,7
KTRolster,Kiin,34,20,14,58.8%,2.03,1.47,3.82,3.98,270.35,8.69,12.3,397,14.6k,468,54.1%,18.8%,22%,13
KTRolster,Lehends,34,20,14,58.8%,0.41,2.06,7.18,3.69,23.15,0.74,7.2,232,5.2k,169,70.1%,3.8%,12.8%,10
Kwangdong,BuLLDoG,34,11,23,32.4%,1.91,2.62,3.53,2.08,285.79,8.64,12.7,383,18.9k,571,63.8%,22.4%,22%,14
Kwangdong,DuDu,34,11,23,32.4%,2.21,2.29,2.29,1.96,294.24,8.9,13.1,396,14.1k,427,52.8%,25.9%,22.8%,10
Kwangdong,Taeyoon,34,11,23,32.4%,2.44,2.62,3.29,2.19,318.15,9.62,13.7,413,17.8k,538,67.2%,28.6%,23.8%,8
Kwangdong,YoungJae,34,11,23,32.4%,1.59,2.24,4.41,2.68,182.71,5.52,10.4,315,9.8k,297,70.3%,18.6%,18.1%,5
Kwangdong,Jun,24,8,16,33.3%,0.42,2.54,5.58,2.36,29.63,0.91,7.8,239,8.1k,249,68.6%,4.8%,13.6%,6
Kwangdong,Moham,10,3,7,30%,0.3,3.1,5.8,1.97,24.6,0.72,7.3,213,5.7k,165,76.3%,3.8%,12.5%,6
Liiv Sandbox,Burdol,37,19,18,51.4%,1.89,2.03,3.41,2.61,292.97,8.77,13.0,388,15.8k,474,51.3%,18.3%,22%,8
Liiv Sandbox,Clozer,37,19,18,51.4%,2.27,2.57,3.92,2.41,304.95,9.13,13.3,397,17.3k,517,59.9%,22%,22.5%,11
Liiv Sandbox,Envyy,37,19,18,51.4%,3.0,2.19,3.68,3.05,314.92,9.43,13.8,415,18.8k,562,64.7%,29.1%,23.5%,10
Liiv Sandbox,Kael,37,19,18,51.4%,1.14,2.03,6.89,3.96,27.65,0.83,8.1,243,8.3k,249,77.7%,11%,13.8%,12
Liiv Sandbox,Willer,37,19,18,51.4%,2.03,2.14,5.0,3.29,188.3,5.64,10.8,324,9.6k,286,68.1%,19.6%,18.3%,7
NongShim,DnDn,33,6,27,18.2%,1.55,2.76,3.27,1.75,263.64,8.31,11.6,366,13.8k,435,54.6%,17.5%,21.8%,10
NongShim,FIESTA,33,6,27,18.2%,2.09,3.06,3.48,1.82,268.61,8.46,11.9,374,16.2k,511,63.2%,23.7%,22.3%,14
NongShim,Peter,33,6,27,18.2%,0.58,2.0,6.45,3.52,22.97,0.72,6.9,218,4.5k,141,79.7%,6.5%,13%,9
NongShim,Sylvie,33,6,27,18.2%,1.7,2.88,4.52,2.16,157.82,4.97,9.6,302,8.6k,271,70.4%,19.2%,18%,6
NongShim,vital,33,6,27,18.2%,2.91,2.18,2.76,2.6,307.79,9.7,13.2,415,18.4k,581,64.3%,33%,24.8%,9
T1,Faker,34,27,7,79.4%,3.03,2.12,5.21,3.89,250.15,8.2,12.1,398,19.1k,625,58.1%,21.4%,20.8%,13
T1,Gumayusi,34,27,7,79.4%,4.21,1.88,5.38,5.09,300.12,9.83,14.3,469,19.1k,625,67.6%,29.7%,24.4%,11
T1,Keria,34,27,7,79.4%,1.35,1.65,9.12,6.36,27.91,0.91,8.5,279,8.4k,276,73.9%,9.5%,14.5%,15
T1,Oner,34,27,7,79.4%,2.59,2.18,6.97,4.39,158.44,5.19,10.6,348,9.2k,300,67.4%,18.3%,18.1%,8
T1,Zeus,34,27,7,79.4%,3.0,2.0,4.18,3.59,272.12,8.92,12.9,424,16.5k,540,50.6%,21.2%,22.1%,13
